lganame,wardname,year,month,t2m_mean,t2m_max,t2m_min,ts_mean,n_days
Bomadi,Ekaametagbene/Kalafio,2025,6,26.38,29.95,23.93,26.64,30
Bomadi,Ekaametagbene/Kalafio,2025,7,25.28,28.95,23.03,25.45,31
Bomadi,Ekaametagbene/Kalafio,2025,8,24.88,28.59,22.5,25.14,31
Bomadi,Ekaametagbene/Kalafio,2025,9,25.31,29.08,23.19,25.56,30
Bomadi,Ekaametagbene/Kalafio,2025,10,25.65,29.96,23.2,25.92,31
Bomadi,Ekaametagbene/Kalafio,2025,11,26.69,31.29,23.88,27.1,30
Bomadi,Ekaametagbene/Kalafio,2025,12,26.73,30.72,24.28,27.01,31
Bomadi,Ekaametagbene/Kalafio,2026,1,27.17,32.11,24.41,27.4,31
Bomadi,Ekaametagbene/Kalafio,2026,2,27.34,32.92,24.19,27.53,28
Bomadi,Ekaametagbene/Kalafio,2026,3,27.68,32.21,24.53,27.97,31
Bomadi,Ekaametagbene/Kalafio,2026,4,27.61,31.96,24.28,27.81,30
Bomadi,Esanma,2020,1,25.91,32.03,16.86,25.77,31
Bomadi,Esanma,2020,2,27.48,32.65,20.57,27.51,29
Bomadi,Esanma,2020,3,27.68,31.91,23.58,27.76,31
Bomadi,Esanma,2020,4,27.44,32.64,23.25,27.65,30
Bomadi,Esanma,2020,5,27.02,30.97,24.82,27.27,31
Bomadi,Esanma,2020,6,25.86,29.66,23.52,26.08,30
Bomadi,Esanma,2020,7,25.03,28.85,22.92,25.16,31
Bomadi,Esanma,2020,8,24.76,29.04,21.57,25.04,31
Bomadi,Esanma,2020,9,25.06,28.73,23.04,25.27,30
Bomadi,Esanma,2020,10,25.59,29.99,23.18,25.82,31
Bomadi,Esanma,2020,11,26.5,30.7,23.8,26.74,30
Bomadi,Esanma,2020,12,26.61,30.93,22.66,26.78,31
Bomadi,Esanma,2021,1,26.78,30.72,23.21,26.89,31
Bomadi,Esanma,2021,2,27.1,31.27,20.53,27.08,28
Bomadi,Esanma,2021,3,27.0,31.51,24.11,27.16,31
Bomadi,Esanma,2021,4,27.17,32.0,24.55,27.22,30
Bomadi,Esanma,2021,5,26.88,30.36,23.92,26.99,31
Bomadi,Esanma,2021,6,26.01,30.71,23.36,26.23,30
Bomadi,Esanma,2021,7,25.37,28.76,22.46,25.53,31
Bomadi,Esanma,2021,8,25.19,28.35,23.07,25.34,31
Bomadi,Esanma,2021,9,25.4,29.12,22.77,25.59,30
Bomadi,Esanma,2021,10,26.05,30.84,23.45,26.31,31
Bomadi,Esanma,2021,11,26.24,31.3,23.69,26.44,30
Bomadi,Esanma,2021,12,26.3,31.7,19.32,26.37,31
Bomadi,Esanma,2022,1,25.12,31.34,16.17,25.01,31
Bomadi,Esanma,2022,2,26.58,31.98,17.65,26.67,28
Bomadi,Esanma,2022,3,27.41,31.27,25.07,27.45,31
Bomadi,Esanma,2022,4,26.95,32.04,24.18,27.09,30
Bomadi,Esanma,2022,5,26.63,30.44,23.26,26.81,31
Bomadi,Esanma,2022,6,25.75,29.28,23.16,25.9,30
Bomadi,Esanma,2022,7,25.16,28.64,22.36,25.3,31
Bomadi,Esanma,2022,8,24.87,28.76,21.84,25.07,31
Bomadi,Esanma,2022,9,25.23,28.84,22.96,25.52,30
Bomadi,Esanma,2022,10,25.84,30.73,22.78,26.13,31
Bomadi,Esanma,2022,11,26.64,31.59,24.21,26.93,30
Bomadi,Esanma,2022,12,25.9,30.74,17.8,25.87,31
Bomadi,Esanma,2023,1,26.09,31.09,17.9,26.04,31
Bomadi,Esanma,2023,2,26.91,32.01,18.86,26.94,28
Bomadi,Esanma,2023,3,27.0,31.34,23.82,27.1,31
Bomadi,Esanma,2023,4,27.18,30.9,24.63,27.33,30
Bomadi,Esanma,2023,5,27.29,31.38,24.62,27.42,31
Bomadi,Esanma,2023,6,26.09,29.62,23.76,26.25,30
Bomadi,Esanma,2023,7,25.78,29.95,23.34,25.91,31
Bomadi,Esanma,2023,8,25.63,29.58,23.08,25.77,31
Bomadi,Esanma,2023,9,25.86,29.58,23.5,26.06,30
Bomadi,Esanma,2023,10,26.4,30.71,23.95,26.64,31
Bomadi,Esanma,2023,11,26.78,30.86,23.55,26.97,30
Bomadi,Esanma,2023,12,27.07,31.87,19.39,27.01,31
Bomadi,Esanma,2024,1,27.22,32.63,19.42,27.23,31
Bomadi,Esanma,2024,2,27.77,32.95,20.74,27.73,29
Bomadi,Esanma,2024,3,28.33,32.7,25.73,28.48,31
Bomadi,Esanma,2024,4,28.25,31.94,25.84,28.35,30
Bomadi,Esanma,2024,5,27.8,31.9,24.87,27.93,31
Bomadi,Esanma,2024,6,26.7,31.25,24.26,26.94,30
Bomadi,Esanma,2024,7,25.84,29.25,23.67,26.01,31
Bomadi,Esanma,2024,8,25.64,29.33,23.32,25.84,31
Bomadi,Esanma,2024,9,25.83,29.61,23.37,26.13,30
Bomadi,Esanma,2024,10,26.2,30.47,23.51,26.49,31
Bomadi,Esanma,2024,11,27.0,31.53,21.76,27.22,30
Bomadi,Esanma,2024,12,26.85,31.69,18.96,26.7,31
Bomadi,Esanma,2025,1,27.24,32.08,20.1,27.35,31
Bomadi,Esanma,2025,2,27.66,32.43,24.4,27.88,28
Bomadi,Esanma,2025,3,27.94,31.82,25.16,28.21,31
Bomadi,Esanma,2025,4,27.61,31.91,24.93,27.85,30
Bomadi,Esanma,2025,5,27.07,31.56,24.66,27.32,31
Bomadi,Esanma,2025,6,26.38,29.95,23.93,26.64,30
Bomadi,Esanma,2025,7,25.28,28.95,23.03,25.45,31
Bomadi,Esanma,2025,8,24.88,28.59,22.5,25.14,31
Bomadi,Esanma,2025,9,25.31,29.08,23.19,25.56,30
Bomadi,Esanma,2025,10,25.65,29.96,23.2,25.92,31
Bomadi,Esanma,2025,11,26.69,31.29,23.88,27.1,30
Bomadi,Esanma,2025,12,26.73,30.72,24.28,27.01,31
Bomadi,Esanma,2026,1,27.17,32.11,24.41,27.4,31
Bomadi,Esanma,2026,2,27.34,32.92,24.19,27.53,28
Bomadi,Esanma,2026,3,27.68,32.21,24.53,27.97,31
Bomadi,Esanma,2026,4,27.61,31.96,24.28,27.81,30
Bomadi,Kpakiama,2020,1,25.91,32.03,16.86,25.77,31
Bomadi,Kpakiama,2020,2,27.48,32.65,20.57,27.51,29
Bomadi,Kpakiama,2020,3,27.68,31.91,23.58,27.76,31
Bomadi,Kpakiama,2020,4,27.44,32.64,23.25,27.65,30
Bomadi,Kpakiama,2020,5,27.02,30.97,24.82,27.27,31
Bomadi,Kpakiama,2020,6,25.86,29.66,23.52,26.08,30
Bomadi,Kpakiama,2020,7,25.03,28.85,22.92,25.16,31
Bomadi,Kpakiama,2020,8,24.76,29.04,21.57,25.04,31
Bomadi,Kpakiama,2020,9,25.06,28.73,23.04,25.27,30
Bomadi,Kpakiama,2020,10,25.59,29.99,23.18,25.82,31
Bomadi,Kpakiama,2020,11,26.5,30.7,23.8,26.74,30
Bomadi,Kpakiama,2020,12,26.61,30.93,22.66,26.78,31
Bomadi,Kpakiama,2021,1,26.78,30.72,23.21,26.89,31
Bomadi,Kpakiama,2021,2,27.1,31.27,20.53,27.08,28
Bomadi,Kpakiama,2021,3,27.0,31.51,24.11,27.16,31
Bomadi,Kpakiama,2021,4,27.17,32.0,24.55,27.22,30
Bomadi,Kpakiama,2021,5,26.88,30.36,23.92,26.99,31
Bomadi,Kpakiama,2021,6,26.01,30.71,23.36,26.23,30
Bomadi,Kpakiama,2021,7,25.37,28.76,22.46,25.53,31
Bomadi,Kpakiama,2021,8,25.19,28.35,23.07,25.34,31
Bomadi,Kpakiama,2021,9,25.4,29.12,22.77,25.59,30
Bomadi,Kpakiama,2021,10,26.05,30.84,23.45,26.31,31
Bomadi,Kpakiama,2021,11,26.24,31.3,23.69,26.44,30
Bomadi,Kpakiama,2021,12,26.3,31.7,19.32,26.37,31
Bomadi,Kpakiama,2022,1,25.12,31.34,16.17,25.01,31
Bomadi,Kpakiama,2022,2,26.58,31.98,17.65,26.67,28
Bomadi,Kpakiama,2022,3,27.41,31.27,25.07,27.45,31
Bomadi,Kpakiama,2022,4,26.95,32.04,24.18,27.09,30
Bomadi,Kpakiama,2022,5,26.63,30.44,23.26,26.81,31
Bomadi,Kpakiama,2022,6,25.75,29.28,23.16,25.9,30
Bomadi,Kpakiama,2022,7,25.16,28.64,22.36,25.3,31
Bomadi,Kpakiama,2022,8,24.87,28.76,21.84,25.07,31
Bomadi,Kpakiama,2022,9,25.23,28.84,22.96,25.52,30
Bomadi,Kpakiama,2022,10,25.84,30.73,22.78,26.13,31
Bomadi,Kpakiama,2022,11,26.64,31.59,24.21,26.93,30
Bomadi,Kpakiama,2022,12,25.9,30.74,17.8,25.87,31
Bomadi,Kpakiama,2023,1,26.09,31.09,17.9,26.04,31
Bomadi,Kpakiama,2023,2,26.91,32.01,18.86,26.94,28
Bomadi,Kpakiama,2023,3,27.0,31.34,23.82,27.1,31
Bomadi,Kpakiama,2023,4,27.18,30.9,24.63,27.33,30
Bomadi,Kpakiama,2023,5,27.29,31.38,24.62,27.42,31
Bomadi,Kpakiama,2023,6,26.09,29.62,23.76,26.25,30
Bomadi,Kpakiama,2023,7,25.78,29.95,23.34,25.91,31
Bomadi,Kpakiama,2023,8,25.63,29.58,23.08,25.77,31
Bomadi,Kpakiama,2023,9,25.86,29.58,23.5,26.06,30
Bomadi,Kpakiama,2023,10,26.4,30.71,23.95,26.64,31
Bomadi,Kpakiama,2023,11,26.78,30.86,23.55,26.97,30
Bomadi,Kpakiama,2023,12,27.07,31.87,19.39,27.01,31
Bomadi,Kpakiama,2024,1,27.22,32.63,19.42,27.23,31
Bomadi,Kpakiama,2024,2,27.77,32.95,20.74,27.73,29
Bomadi,Kpakiama,2024,3,28.33,32.7,25.73,28.48,31
Bomadi,Kpakiama,2024,4,28.25,31.94,25.84,28.35,30
Bomadi,Kpakiama,2024,5,27.8,31.9,24.87,27.93,31
Bomadi,Kpakiama,2024,6,26.7,31.25,24.26,26.94,30
Bomadi,Kpakiama,2024,7,25.84,29.25,23.67,26.01,31
Bomadi,Kpakiama,2024,8,25.64,29.33,23.32,25.84,31
Bomadi,Kpakiama,2024,9,25.83,29.61,23.37,26.13,30
Bomadi,Kpakiama,2024,10,26.2,30.47,23.51,26.49,31
Bomadi,Kpakiama,2024,11,27.0,31.53,21.76,27.22,30
Bomadi,Kpakiama,2024,12,26.85,31.69,18.96,26.7,31
Bomadi,Kpakiama,2025,1,27.24,32.08,20.1,27.35,31
Bomadi,Kpakiama,2025,2,27.66,32.43,24.4,27.88,28
Bomadi,Kpakiama,2025,3,27.94,31.82,25.16,28.21,31
Bomadi,Kpakiama,2025,4,27.61,31.91,24.93,27.85,30
Bomadi,Kpakiama,2025,5,27.07,31.56,24.66,27.32,31
Bomadi,Kpakiama,2025,6,26.38,29.95,23.93,26.64,30
Bomadi,Kpakiama,2025,7,25.28,28.95,23.03,25.45,31
Bomadi,Kpakiama,2025,8,24.88,28.59,22.5,25.14,31
Bomadi,Kpakiama,2025,9,25.31,29.08,23.19,25.56,30
Bomadi,Kpakiama,2025,10,25.65,29.96,23.2,25.92,31
Bomadi,Kpakiama,2025,11,26.69,31.29,23.88,27.1,30
Bomadi,Kpakiama,2025,12,26.73,30.72,24.28,27.01,31
Bomadi,Kpakiama,2026,1,27.17,32.11,24.41,27.4,31
Bomadi,Kpakiama,2026,2,27.34,32.92,24.19,27.53,28
Bomadi,Kpakiama,2026,3,27.68,32.21,24.53,27.97,31
Bomadi,Kpakiama,2026,4,27.61,31.96,24.28,27.81,30
Bomadi,Ogbeinma/Okoloba,2020,1,25.04,32.97,15.08,24.53,31
Bomadi,Ogbeinma/Okoloba,2020,2,26.92,33.72,17.99,26.66,29
Bomadi,Ogbeinma/Okoloba,2020,3,27.37,33.15,22.44,27.41,31
Bomadi,Ogbeinma/Okoloba,2020,4,27.15,34.33,22.27,27.22,30
Bomadi,Ogbeinma/Okoloba,2020,5,26.68,31.91,23.95,26.74,31
Bomadi,Ogbeinma/Okoloba,2020,6,25.59,30.75,22.8,25.67,30
Bomadi,Ogbeinma/Okoloba,2020,7,24.74,29.94,22.09,24.82,31
Bomadi,Ogbeinma/Okoloba,2020,8,24.48,30.41,19.96,24.6,31
Bomadi,Ogbeinma/Okoloba,2020,9,24.98,30.5,22.24,25.08,30
Bomadi,Ogbeinma/Okoloba,2020,10,25.58,31.68,22.19,25.64,31
Bomadi,Ogbeinma/Okoloba,2020,11,26.5,31.99,22.85,26.52,30
Bomadi,Ogbeinma/Okoloba,2020,12,26.46,31.97,21.71,26.51,31
Bomadi,Ogbeinma/Okoloba,2021,1,26.52,32.41,20.44,26.45,31
Bomadi,Ogbeinma/Okoloba,2021,2,26.62,33.09,17.85,26.47,28
Bomadi,Ogbeinma/Okoloba,2021,3,26.8,32.43,23.3,26.84,31
Bomadi,Ogbeinma/Okoloba,2021,4,26.72,31.65,23.28,26.73,30
Bomadi,Ogbeinma/Okoloba,2021,5,26.36,30.28,23.47,26.38,31
Bomadi,Ogbeinma/Okoloba,2021,6,25.69,31.42,22.31,25.74,30
Bomadi,Ogbeinma/Okoloba,2021,7,24.94,29.45,21.32,25.02,31
Bomadi,Ogbeinma/Okoloba,2021,8,24.9,29.49,22.05,24.97,31
Bomadi,Ogbeinma/Okoloba,2021,9,25.24,30.3,21.78,25.29,30
Bomadi,Ogbeinma/Okoloba,2021,10,25.97,31.83,22.89,26.05,31
Bomadi,Ogbeinma/Okoloba,2021,11,26.1,31.5,22.52,26.16,30
Bomadi,Ogbeinma/Okoloba,2021,12,25.68,32.19,18.01,25.49,31
Bomadi,Ogbeinma/Okoloba,2022,1,24.25,31.96,14.3,23.97,31
Bomadi,Ogbeinma/Okoloba,2022,2,26.22,33.18,15.37,26.02,28
Bomadi,Ogbeinma/Okoloba,2022,3,27.17,32.75,24.08,27.21,31
Bomadi,Ogbeinma/Okoloba,2022,4,26.59,33.22,23.1,26.64,30
Bomadi,Ogbeinma/Okoloba,2022,5,26.26,31.21,22.1,26.29,31
Bomadi,Ogbeinma/Okoloba,2022,6,25.39,29.71,22.51,25.43,30
Bomadi,Ogbeinma/Okoloba,2022,7,24.88,29.71,21.6,24.95,31
Bomadi,Ogbeinma/Okoloba,2022,8,24.66,29.95,20.83,24.76,31
Bomadi,Ogbeinma/Okoloba,2022,9,25.07,30.27,22.35,25.16,30
Bomadi,Ogbeinma/Okoloba,2022,10,25.9,31.87,21.87,25.94,31
Bomadi,Ogbeinma/Okoloba,2022,11,26.58,32.65,22.42,26.59,30
Bomadi,Ogbeinma/Okoloba,2022,12,25.06,31.55,16.49,24.8,31
Bomadi,Ogbeinma/Okoloba,2023,1,25.36,31.9,15.73,25.09,31
Bomadi,Ogbeinma/Okoloba,2023,2,26.33,34.2,17.47,26.19,28
Bomadi,Ogbeinma/Okoloba,2023,3,26.56,32.27,22.63,26.57,31
Bomadi,Ogbeinma/Okoloba,2023,4,26.85,32.27,23.71,26.91,30
Bomadi,Ogbeinma/Okoloba,2023,5,26.86,31.62,23.29,26.89,31
Bomadi,Ogbeinma/Okoloba,2023,6,25.71,30.11,22.92,25.78,30
Bomadi,Ogbeinma/Okoloba,2023,7,25.64,30.94,22.3,25.71,31
Bomadi,Ogbeinma/Okoloba,2023,8,25.5,31.08,22.19,25.57,31
Bomadi,Ogbeinma/Okoloba,2023,9,25.79,31.3,23.01,25.87,30
Bomadi,Ogbeinma/Okoloba,2023,10,26.25,31.81,23.02,26.33,31
Bomadi,Ogbeinma/Okoloba,2023,11,26.61,32.09,22.79,26.67,30
Bomadi,Ogbeinma/Okoloba,2023,12,26.54,32.41,17.43,26.22,31
Bomadi,Ogbeinma/Okoloba,2024,1,26.64,33.3,16.25,26.3,31
Bomadi,Ogbeinma/Okoloba,2024,2,27.3,34.43,18.38,27.1,29
Bomadi,Ogbeinma/Okoloba,2024,3,28.01,34.49,24.72,28.05,31
Bomadi,Ogbeinma/Okoloba,2024,4,27.73,32.57,24.81,27.74,30
Bomadi,Ogbeinma/Okoloba,2024,5,27.32,32.15,24.05,27.36,31
Bomadi,Ogbeinma/Okoloba,2024,6,26.42,31.61,23.44,26.5,30
Bomadi,Ogbeinma/Okoloba,2024,7,25.59,30.14,23.05,25.68,31
Bomadi,Ogbeinma/Okoloba,2024,8,25.49,30.72,22.38,25.59,31
Bomadi,Ogbeinma/Okoloba,2024,9,25.79,30.71,22.86,25.91,30
Bomadi,Ogbeinma/Okoloba,2024,10,26.09,32.35,22.65,26.16,31
Bomadi,Ogbeinma/Okoloba,2024,11,26.7,32.38,19.48,26.6,30
Bomadi,Ogbeinma/Okoloba,2024,12,25.88,32.76,17.28,25.43,31
Bomadi,Ogbeinma/Okoloba,2025,1,26.86,33.19,17.83,26.77,31
Bomadi,Ogbeinma/Okoloba,2025,2,27.48,33.98,23.51,27.52,28
Bomadi,Ogbeinma/Okoloba,2025,3,27.79,33.25,24.34,27.88,31
Bomadi,Ogbeinma/Okoloba,2025,4,27.35,33.19,24.3,27.43,30
Bomadi,Ogbeinma/Okoloba,2025,5,26.71,31.96,24.0,26.78,31
Bomadi,Ogbeinma/Okoloba,2025,6,26.05,30.65,23.16,26.12,30
Bomadi,Ogbeinma/Okoloba,2025,7,24.93,29.47,22.12,25.02,31
Bomadi,Ogbeinma/Okoloba,2025,8,24.67,29.85,21.72,24.79,31
Bomadi,Ogbeinma/Okoloba,2025,9,25.19,30.78,22.28,25.29,30
Bomadi,Ogbeinma/Okoloba,2025,10,25.66,31.23,22.4,25.72,31
Bomadi,Ogbeinma/Okoloba,2025,11,26.76,32.28,23.2,26.85,30
Bomadi,Ogbeinma/Okoloba,2025,12,26.67,32.28,23.6,26.75,31
Bomadi,Ogbeinma/Okoloba,2026,1,26.93,32.79,22.84,26.96,31
Bomadi,Ogbeinma/Okoloba,2026,2,27.03,34.25,23.16,27.04,28
Bomadi,Ogbeinma/Okoloba,2026,3,27.49,33.49,23.29,27.57,31
Bomadi,Ogbeinma/Okoloba,2026,4,27.4,32.26,23.5,27.69,30
Bomadi,Ogo/Eze,2020,1,25.04,32.97,15.08,24.53,31
Bomadi,Ogo/Eze,2020,2,26.92,33.72,17.99,26.66,29
Bomadi,Ogo/Eze,2020,3,27.37,33.15,22.44,27.41,31
Bomadi,Ogo/Eze,2020,4,27.15,34.33,22.27,27.22,30
Bomadi,Ogo/Eze,2020,5,26.68,31.91,23.95,26.74,31
Bomadi,Ogo/Eze,2020,6,25.59,30.75,22.8,25.67,30
Bomadi,Ogo/Eze,2020,7,24.74,29.94,22.09,24.82,31
Bomadi,Ogo/Eze,2020,8,24.48,30.41,19.96,24.6,31
Bomadi,Ogo/Eze,2020,9,24.98,30.5,22.24,25.08,30
Bomadi,Ogo/Eze,2020,10,25.58,31.68,22.19,25.64,31
Bomadi,Ogo/Eze,2020,11,26.5,31.99,22.85,26.52,30
Bomadi,Ogo/Eze,2020,12,26.46,31.97,21.71,26.51,31
Bomadi,Ogo/Eze,2021,1,26.52,32.41,20.44,26.45,31
Bomadi,Ogo/Eze,2021,2,26.62,33.09,17.85,26.47,28
Bomadi,Ogo/Eze,2021,3,26.8,32.43,23.3,26.84,31
Bomadi,Ogo/Eze,2021,4,26.72,31.65,23.28,26.73,30
Bomadi,Ogo/Eze,2021,5,26.36,30.28,23.47,26.38,31
Bomadi,Ogo/Eze,2021,6,25.69,31.42,22.31,25.74,30
Bomadi,Ogo/Eze,2021,7,24.94,29.45,21.32,25.02,31
Bomadi,Ogo/Eze,2021,8,24.9,29.49,22.05,24.97,31
Bomadi,Ogo/Eze,2021,9,25.24,30.3,21.78,25.29,30
Bomadi,Ogo/Eze,2021,10,25.97,31.83,22.89,26.05,31
Bomadi,Ogo/Eze,2021,11,26.1,31.5,22.52,26.16,30
Bomadi,Ogo/Eze,2021,12,25.68,32.19,18.01,25.49,31
Bomadi,Ogo/Eze,2022,1,24.25,31.96,14.3,23.97,31
Bomadi,Ogo/Eze,2022,2,26.22,33.18,15.37,26.02,28
Bomadi,Ogo/Eze,2022,3,27.17,32.75,24.08,27.21,31
Bomadi,Ogo/Eze,2022,4,26.59,33.22,23.1,26.64,30
Bomadi,Ogo/Eze,2022,5,26.26,31.21,22.1,26.29,31
Bomadi,Ogo/Eze,2022,6,25.39,29.71,22.51,25.43,30
Bomadi,Ogo/Eze,2022,7,24.88,29.71,21.6,24.95,31
Bomadi,Ogo/Eze,2022,8,24.66,29.95,20.83,24.76,31
Bomadi,Ogo/Eze,2022,9,25.07,30.27,22.35,25.16,30
Bomadi,Ogo/Eze,2022,10,25.9,31.87,21.87,25.94,31
Bomadi,Ogo/Eze,2022,11,26.58,32.65,22.42,26.59,30
Bomadi,Ogo/Eze,2022,12,25.06,31.55,16.49,24.8,31
Bomadi,Ogo/Eze,2023,1,25.36,31.9,15.73,25.09,31
Bomadi,Ogo/Eze,2023,2,26.33,34.2,17.47,26.19,28
Bomadi,Ogo/Eze,2023,3,26.56,32.27,22.63,26.57,31
Bomadi,Ogo/Eze,2023,4,26.85,32.27,23.71,26.91,30
Bomadi,Ogo/Eze,2023,5,26.86,31.62,23.29,26.89,31
Bomadi,Ogo/Eze,2023,6,25.71,30.11,22.92,25.78,30
Bomadi,Ogo/Eze,2023,7,25.64,30.94,22.3,25.71,31
Bomadi,Ogo/Eze,2023,8,25.5,31.08,22.19,25.57,31
Bomadi,Ogo/Eze,2023,9,25.79,31.3,23.01,25.87,30
Bomadi,Ogo/Eze,2023,10,26.25,31.81,23.02,26.33,31
Bomadi,Ogo/Eze,2023,11,26.61,32.09,22.79,26.67,30
Bomadi,Ogo/Eze,2023,12,26.54,32.41,17.43,26.22,31
Bomadi,Ogo/Eze,2024,1,26.64,33.3,16.25,26.3,31
Bomadi,Ogo/Eze,2024,2,27.3,34.43,18.38,27.1,29
Bomadi,Ogo/Eze,2024,3,28.01,34.49,24.72,28.05,31
Bomadi,Ogo/Eze,2024,4,27.73,32.57,24.81,27.74,30
Bomadi,Ogo/Eze,2024,5,27.32,32.15,24.05,27.36,31
Bomadi,Ogo/Eze,2024,6,26.42,31.61,23.44,26.5,30
Bomadi,Ogo/Eze,2024,7,25.59,30.14,23.05,25.68,31
Bomadi,Ogo/Eze,2024,8,25.49,30.72,22.38,25.59,31
Bomadi,Ogo/Eze,2024,9,25.79,30.71,22.86,25.91,30
Bomadi,Ogo/Eze,2024,10,26.09,32.35,22.65,26.16,31
Bomadi,Ogo/Eze,2024,11,26.7,32.38,19.48,26.6,30
Bomadi,Ogo/Eze,2024,12,25.88,32.76,17.28,25.43,31
Bomadi,Ogo/Eze,2025,1,26.86,33.19,17.83,26.77,31
Bomadi,Ogo/Eze,2025,2,27.48,33.98,23.51,27.52,28
Bomadi,Ogo/Eze,2025,3,27.79,33.25,24.34,27.88,31
Bomadi,Ogo/Eze,2025,4,27.35,33.19,24.3,27.43,30
Bomadi,Ogo/Eze,2025,5,26.71,31.96,24.0,26.78,31
Bomadi,Ogo/Eze,2025,6,26.05,30.65,23.16,26.12,30
Bomadi,Ogo/Eze,2025,7,24.93,29.47,22.12,25.02,31
Bomadi,Ogo/Eze,2025,8,24.67,29.85,21.72,24.79,31
Bomadi,Ogo/Eze,2025,9,25.19,30.78,22.28,25.29,30
Bomadi,Ogo/Eze,2025,10,25.66,31.23,22.4,25.72,31
Bomadi,Ogo/Eze,2025,11,26.76,32.28,23.2,26.85,30
Bomadi,Ogo/Eze,2025,12,26.67,32.28,23.6,26.75,31
Bomadi,Ogo/Eze,2026,1,26.93,32.79,22.84,26.96,31
Bomadi,Ogo/Eze,2026,2,27.03,34.25,23.16,27.04,28
Bomadi,Ogo/Eze,2026,3,27.49,33.49,23.29,27.57,31
Bomadi,Ogo/Eze,2026,4,27.4,32.26,23.5,27.69,30
Bomadi,Ogriagbene,2020,1,25.91,32.03,16.86,25.77,31
Bomadi,Ogriagbene,2020,2,27.48,32.65,20.57,27.51,29
Bomadi,Ogriagbene,2020,3,27.68,31.91,23.58,27.76,31
Bomadi,Ogriagbene,2020,4,27.44,32.64,23.25,27.65,30
Bomadi,Ogriagbene,2020,5,27.02,30.97,24.82,27.27,31
Bomadi,Ogriagbene,2020,6,25.86,29.66,23.52,26.08,30
Bomadi,Ogriagbene,2020,7,25.03,28.85,22.92,25.16,31
Bomadi,Ogriagbene,2020,8,24.76,29.04,21.57,25.04,31
Bomadi,Ogriagbene,2020,9,25.06,28.73,23.04,25.27,30
Bomadi,Ogriagbene,2020,10,25.59,29.99,23.18,25.82,31
Bomadi,Ogriagbene,2020,11,26.5,30.7,23.8,26.74,30
Bomadi,Ogriagbene,2020,12,26.61,30.93,22.66,26.78,31
Bomadi,Ogriagbene,2021,1,26.78,30.72,23.21,26.89,31
Bomadi,Ogriagbene,2021,2,27.1,31.27,20.53,27.08,28
Bomadi,Ogriagbene,2021,3,27.0,31.51,24.11,27.16,31
Bomadi,Ogriagbene,2021,4,27.17,32.0,24.55,27.22,30
Bomadi,Ogriagbene,2021,5,26.88,30.36,23.92,26.99,31
Bomadi,Ogriagbene,2021,6,26.01,30.71,23.36,26.23,30
Bomadi,Ogriagbene,2021,7,25.37,28.76,22.46,25.53,31
Bomadi,Ogriagbene,2021,8,25.19,28.35,23.07,25.34,31
Bomadi,Ogriagbene,2021,9,25.4,29.12,22.77,25.59,30
Bomadi,Ogriagbene,2021,10,26.05,30.84,23.45,26.31,31
Bomadi,Ogriagbene,2021,11,26.24,31.3,23.69,26.44,30
Bomadi,Ogriagbene,2021,12,26.3,31.7,19.32,26.37,31
Bomadi,Ogriagbene,2022,1,25.12,31.34,16.17,25.01,31
Bomadi,Ogriagbene,2022,2,26.58,31.98,17.65,26.67,28
Bomadi,Ogriagbene,2022,3,27.41,31.27,25.07,27.45,31
Bomadi,Ogriagbene,2022,4,26.95,32.04,24.18,27.09,30
Bomadi,Ogriagbene,2022,5,26.63,30.44,23.26,26.81,31
Bomadi,Ogriagbene,2022,6,25.75,29.28,23.16,25.9,30
Bomadi,Ogriagbene,2022,7,25.16,28.64,22.36,25.3,31
Bomadi,Ogriagbene,2022,8,24.87,28.76,21.84,25.07,31
Bomadi,Ogriagbene,2022,9,25.23,28.84,22.96,25.52,30
Bomadi,Ogriagbene,2022,10,25.84,30.73,22.78,26.13,31
Bomadi,Ogriagbene,2022,11,26.64,31.59,24.21,26.93,30
Bomadi,Ogriagbene,2022,12,25.9,30.74,17.8,25.87,31
Bomadi,Ogriagbene,2023,1,26.09,31.09,17.9,26.04,31
Bomadi,Ogriagbene,2023,2,26.91,32.01,18.86,26.94,28
Bomadi,Ogriagbene,2023,3,27.0,31.34,23.82,27.1,31
Bomadi,Ogriagbene,2023,4,27.18,30.9,24.63,27.33,30
Bomadi,Ogriagbene,2023,5,27.29,31.38,24.62,27.42,31
Bomadi,Ogriagbene,2023,6,26.09,29.62,23.76,26.25,30
Bomadi,Ogriagbene,2023,7,25.78,29.95,23.34,25.91,31
Bomadi,Ogriagbene,2023,8,25.63,29.58,23.08,25.77,31
Bomadi,Ogriagbene,2023,9,25.86,29.58,23.5,26.06,30
Bomadi,Ogriagbene,2023,10,26.4,30.71,23.95,26.64,31
Bomadi,Ogriagbene,2023,11,26.78,30.86,23.55,26.97,30
Bomadi,Ogriagbene,2023,12,27.07,31.87,19.39,27.01,31
Bomadi,Ogriagbene,2024,1,27.22,32.63,19.42,27.23,31
Bomadi,Ogriagbene,2024,2,27.77,32.95,20.74,27.73,29
Bomadi,Ogriagbene,2024,3,28.33,32.7,25.73,28.48,31
Bomadi,Ogriagbene,2024,4,28.25,31.94,25.84,28.35,30
Bomadi,Ogriagbene,2024,5,27.8,31.9,24.87,27.93,31
Bomadi,Ogriagbene,2024,6,26.7,31.25,24.26,26.94,30
